Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"Books AUTO","Water AUTO","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.16,0.12,-25.0,decrease,117,0,20.00,41.65,4,48.0,3.42,0.17,20,Good,"ACOS 48.0% exceeds target range (16%-22%). CVR: 3.42%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.16 × (20/48.0) = 0.07, capped at -25%."
"Premium Stretched Canvas AUTO DETAIL","Premium Stretched Canvas AUTO 50x70","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.48,0.36,-25.0,decrease,31,0,15.72,35.20,1,44.7,3.23,0.51,20,OK,"ACOS 44.7% exceeds target range (16%-22%). CVR: 3.23%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/44.7) = 0.21, capped at -25%."
"Rotary Cutters AUTO","Rotary cutters AUTO","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.12,0.09,-25.0,decrease,38,0,5.05,19.60,2,25.8,5.26,0.13,20,OK,"ACOS 25.8% exceeds target range (16%-22%). CVR: 5.26%. Decreasing bid by 22.4% to improve efficiency. Formula: 0.12 × (20/25.8) = 0.09, capped at -25%."
"SP AUTO NYL Round Paint Brush","SP AUTO NYL Round Paint Brush","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.36,0.27,-25.0,decrease,58,0,20.48,24.48,3,83.7,5.17,0.35,20,OK,"ACOS 83.7% exceeds target range (16%-22%). CVR: 5.17%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/83.7) = 0.09, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 30CM","morgantina",PHRASE,0.28,0.21,-25.0,decrease,188,0,57.75,180.49,18,32.0,9.57,0.31,20,Good,"ACOS 32.0% exceeds target range (16%-22%). CVR: 9.57%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/32.0) = 0.18, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","oil paints",BROAD,0.36,0.27,-25.0,decrease,108,0,38.09,74.37,5,51.2,4.63,0.35,20,Good,"ACOS 51.2% exceeds target range (16%-22%). CVR: 4.63%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/51.2) = 0.14, capped at -25%."
"SP Manual Keywords NYL Round Paint Brush","SP Manual Keywords NYL Round Paint Brush","pennelli a punta tonda",BROAD,0.48,0.36,-25.0,decrease,205,0,85.95,259.54,30,33.1,14.63,0.42,20,Good,"ACOS 33.1% exceeds target range (16%-22%). CVR: 14.63%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/33.1) = 0.29, capped at -25%."
"SP Manual Keywords SABLE Brush","SP Manual Keywords SABLE Brush","pennelli acquerelli",BROAD,0.56,0.42,-25.0,decrease,47,0,26.11,26.14,2,99.9,4.26,0.56,20,OK,"ACOS 99.9% exceeds target range (16%-22%). CVR: 4.26%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/99.9) = 0.11, capped at -25%."
"SP Manual Keywords NYL Flat Paint Brush","SP Manual Keywords NYL Flat Paint Brush","pennelli piatti per dipingere",BROAD,0.48,0.36,-25.0,decrease,33,0,14.70,48.96,6,30.0,18.18,0.45,20,OK,"ACOS 30.0% exceeds target range (16%-22%). CVR: 18.18%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/30.0) = 0.32, capped at -25%."
"SP Manual Keywords NYL Flat Paint Brush","SP Manual Keywords NYL Flat Paint Brush","pennelli punta piatta",BROAD,0.48,0.36,-25.0,decrease,99,0,40.74,115.88,14,35.2,14.14,0.41,20,OK,"ACOS 35.2% exceeds target range (16%-22%). CVR: 14.14%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/35.2) = 0.27, capped at -25%."
