source_table,campaign_id,campaign_name,country,campaign_status
"brand_placement","493993399591669","SB VID 280 Stretched Canvas Defensive to 280 Stretched Canvas","","ENABLED"
"brand_placement","522224572438435","SB VID Cutting Mat Defensive to Mat","","ENABLED"
"brand_placement","528018809052679","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","526078293117030","SB VID 280 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","450017929539581","SB VID Cutting Mat Defensive to Mat","","ENABLED"
"brand_placement","118268506133027","Detail Paint Brush Vid","",""
"brand_placement","531845039807022","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","498694549347100","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","461824020559496","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","496790471925996","SB VID Cutting Mat Defensive to Mat","","ENABLED"
"brand_placement","370993713024007","SB VID 380 Stretched Canvas Defensive to 280 Stretched Canvas","","ENABLED"
"brand_placement","531853068173372","SB VID Cutting Mat MANUAL ALL","",""
"brand_placement","480418488941880","Stretched Canvas Brand Store Video MANUAL","","ENABLED"
"brand_placement","531845039807022","SB VID Cutting Mat MANUAL ALL","",""
"brand_placement","450074767441262","SB VID Paint Brush Product Target","","ENABLED"
"brand_placement","540148758058671","SB VID Cutting Mat Defensive to Mat","","ENABLED"
"brand_placement","434549591604303","SB VID Paint Brush MANUAL ALL","","ENABLED"
"brand_placement","178468686543721","Paint Brush Vid","",""
"brand_placement","337035178897467","SB VID 280 Stretched Canvas MANUAL ALL","","ENABLED"
"brand_placement","493993399591669","SB VID 280 Stretched Canvas Defensive to 280 Stretched Canvas","","PAUSED"
"brand_placement","529718614010299","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","384005319493704","Cutting Mat Store Brands Video MANUAL","","ENABLED"
"display_matched_target","403771453084711","SD VID 280 Stretched Canvas View Remarket","ES",""
"display_matched_target","331825310033456","SD VID Cutting Mat Purchase Remarket","GB",""
"display_matched_target","316781853720610","SD VID Cutting Mat View Remarket CAT ALL","GB",""
"display_matched_target","375352818180963","SD VID Cutting Mat View Remarket","ES",""
"display_matched_target","370173177138978","SD VID Cutting Mat Purchase Remarket","DE",""
"display_matched_target","561595241292651","SD VID Cutting Mat Contextual CAT ALL","GB",""
"display_matched_target","391159815378599","SD VID 280 Stretched Canvas Product Target","DE",""
"display_matched_target","429181673953126","SD VID Cutting Mat Contextual CAT ALL","FR",""
"display_matched_target","379136524107369","SD VID Cutting Mat View Remarket","US",""
